[0.139s] Invoking command in '/home/ubuntu/ros2_rviz_urbot/build/mycobot_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/ubuntu/ros2_rviz_urbot/build/mycobot_description -- -j16 -l16
[0.359s] Invoked command in '/home/ubuntu/ros2_rviz_urbot/build/mycobot_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/ubuntu/ros2_rviz_urbot/build/mycobot_description -- -j16 -l16
[0.414s] Invoking command in '/home/ubuntu/ros2_rviz_urbot/build/mycobot_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --install /home/ubuntu/ros2_rviz_urbot/build/mycobot_description
[0.481s] -- Install configuration: ""
[0.515s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/urdf/control/gazebo_sim_ros2_control.urdf.xacro
[0.515s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/urdf/control/mycobot_280_ros2_control.urdf.xacro
[0.515s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/urdf/mech/adaptive_gripper.urdf.xacro
[0.515s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/urdf/mech/g_shape_base_v2_0.urdf.xacro
[0.515s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/urdf/mech/mycobot_280_arm.urdf.xacro
[0.515s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/urdf/robots/mycobot_280.urdf.xacro
[0.515s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/urdf/sensors/intel_rgbd_cam_d435.urdf.xacro
[0.515s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/rviz/mycobot_280_description.rviz
[0.515s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/ament_index/resource_index/package_run_dependencies/mycobot_description
[0.516s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/ament_index/resource_index/parent_prefix_path/mycobot_description
[0.516s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/environment/ament_prefix_path.sh
[0.516s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/environment/ament_prefix_path.dsv
[0.516s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/environment/path.sh
[0.516s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/environment/path.dsv
[0.519s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/local_setup.bash
[0.519s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/local_setup.sh
[0.519s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/local_setup.zsh
[0.519s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/local_setup.dsv
[0.525s] -- Symlinking: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/package.dsv
[0.526s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/ament_index/resource_index/packages/mycobot_description
[0.526s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/cmake/mycobot_descriptionConfig.cmake
[0.526s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/cmake/mycobot_descriptionConfig-version.cmake
[0.578s] -- Up-to-date symlink: /home/ubuntu/ros2_rviz_urbot/install/mycobot_description/share/mycobot_description/package.xml
[0.688s] Invoked command in '/home/ubuntu/ros2_rviz_urbot/build/mycobot_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --install /home/ubuntu/ros2_rviz_urbot/build/mycobot_description
